,data_id,message_id,date,text,tweet_lang,place,photo_url,geometry,source
0,1,1333874713941192711,2020-12-01 20:44:48+00:00,Returning to Cinema this Friday @ShowcaseCinemas Newham to see this one 🤷‍♂️ dont know much about it but happy to be going back https://t.co/43Ne6WftUG,en,na,na,"POLYGON ((0.225146 51.491358, 0.225146 51.511893, 0.264278 51.511893, 0.264278 51.491358, 0.225146 51.491358))",random
1,2,1317171240793214977,2020-10-16 18:31:10+00:00,"@AwesomeCycling Oh, and Royal Enfield, from when they made bikes",en,na,na,"POLYGON ((-0.080028 51.48432, -0.080028 51.545341, 0.009989 51.545341, 0.009989 51.48432, -0.080028 51.48432))",random
2,3,1356073654237474822,2021-02-01 02:55:28+00:00,Nigeria 😂😂😂😂,en,na,na,"POLYGON ((-0.297848 51.640831, -0.297848 51.682412, -0.249317 51.682412, -0.249317 51.640831, -0.297848 51.640831))",random
3,4,1356250712066433025,2021-02-01 14:39:02+00:00,"New A-level YouTube lesson uploaded for home learning. 

https://t.co/AATKbVPoJh

#homeschooling #alevels #biology #neuroscience #edutwitter #teachers #sixthform #students #StudentsWantOlineExams https://t.co/h077ZrxCwz",en,na,na,"POLYGON ((-0.015449 51.670231, -0.015449 51.705531, 0.038314 51.705531, 0.038314 51.670231, -0.015449 51.670231))",random
4,5,1356233251527004162,2021-02-01 13:29:39+00:00,There are countless examples of successful publicly owned services from across the world. Check out just a few that @we_ownit have highlighted! https://t.co/IApyBbVWTP,en,na,na,"POLYGON ((-0.100615 51.681067, -0.100615 51.755575, -0.010847 51.755575, -0.010847 51.681067, -0.100615 51.681067))",random
5,6,1323318096489336832,2020-11-02 17:36:34+00:00,@birderkettle @EssexBirdNews Graham Ekins is a co-author...,en,na,na,"POLYGON ((0.263781 51.661453, 0.263781 51.668772, 0.284126 51.668772, 0.284126 51.661453, 0.263781 51.661453))",random
6,7,1323289614954758145,2020-11-02 15:43:24+00:00,@jtopper Maybe you can sandbox it to a different data directory ?,en,na,na,"POLYGON ((-0.304758 51.308464, -0.304758 51.381086, -0.217073 51.381086, -0.217073 51.308464, -0.304758 51.308464))",random
7,8,1307431036364763136,2020-09-19 21:27:04+00:00,"Wonder how many of these fine examples of humanity support brexit, don’t believe in climate change and are anti vax… https://t.co/GN7uFIwKcM",en,na,na,"POLYGON ((-0.368615 51.729772, -0.272269 51.729772, -0.272269 51.775108, -0.368615 51.775108, -0.368615 51.729772))",random
8,9,1544609573319098370,2022-07-06 09:09:54,"LACoFD-6 | Inglewood / S. LA Residential Fire reported at 1245 W 88th St, South La, Ca

https://t.co/PTwT1qfx0C
#lacofd #lacofdalert",en,"Westmont, CA",,POINT (-118.2977 33.9579),cali_fire
9,10,1322970713993715718,2020-11-01 18:36:12+00:00,"My (don't get too worked up if you dont agree!) match ratings 

Leno - 8
Bellerin - 7.5
Holding - 7.5 
Gabriel - 9 🌟
KT - 8
Saka - 7.5
Elneny - 8
Partey - 9
Willian - 7.5 
Auba - 7 
Laca - 6",en,na,na,"POLYGON ((0.252097 51.597898, 0.252097 51.645571, 0.364782 51.645571, 0.364782 51.597898, 0.252097 51.597898))",random
